1456005180,NPR,3796.44,Charles Lane,74122 Anthes Street,FR58 3933 4646 40II LIYX SHJG T59,Victor Adams,49916 Monica Way,CR24 9544 0566 2679 2674 5,SHAR
1448506508,ZAR,4939.11,Albert Bryant,8231 Barnett Parkway,LI73 5793 5SYO R7SO MED3 K,Brenda Bennett,9 Victoria Parkway,AD44 8340 5963 OEP9 SKFB FSWG,BEN
1461473052,CNY,3995.14,Eric Alvarez,238 Shelley Street,BA23 9509 0251 9123 1879,John Lynch,8973 Ohio Hill,GT87 WXEX PCXK XDSN T3PT 4PHN L1IG,OUR
1437508436,SEK,97.31,Ruth Jenkins,82 Spohn Center,DE47 6100 0683 9959 7753 07,Brandon Jones,19241 Longview Circle,FR15 8241 9945 06EH X2K3 YQOS O46,BEN
1441450277,CNY,4986.97,Pamela Berry,3473 Spenser Pass,DK43 0348 4279 1955 04,David Stevens,0463 Miller Point,CR02 2468 9407 2434 6086 2,SHAR
1463577347,EUR,92.33,Ashley Lee,609 Cambridge Court,AZ92 AXXP T5I1 BAFJ 50IZ MFE7 3WJT,Rose White,57610 Cherokee Plaza,CY79 3059 9964 RBFZ OW7U EPD0 SCWA,OUR
1445036942,IDR,2534.5,Walter Richardson,42148 Evergreen Lane,SK29 2222 1946 3982 8206 2717,Sean Garcia,85 Nobel Pass,RO73 QEMJ ST8V RZT8 RH0G M7WI,BEN
1463973136,RUB,4491.0,Lillian Crawford,8084 Cherokee Lane,NO63 2425 4170 197,Johnny Brooks,36 Monument Center,FR36 7872 3038 70MU PXQI QR0Z R27,SHAR
1456923066,ETB,1661.41,Aaron Long,3 Almo Road,FR26 7189 5061 46GV FJ2Q RV8C P74,Steven Collins,6378 Red Cloud Junction,PK04 MLET GGGP 3ADL AG0H JM0S,SHAR
1455098212,RUB,1.45,Todd Powell,1 Green Drive,IS44 1896 8589 8325 3945 7508 07,Larry Harper,3 Buell Road,GE79 ER38 9125 5611 4247 42,SHAR
1439413640,CNY,2077.46,Katherine Owens,89446 Karstens Trail,SM24 D916 7581 591T VPCD PPWE VRD,Louis Armstrong,888 Moland Circle,PT68 7933 0562 8731 5499 8608 5,SHAR
1462109447,AUD,2169.05,Judy Warren,6 Eastlawn Hill,GI61 RKMY 0EGD 1168 OYDL UIM,Harold Tucker,504 Gerald Parkway,GR84 4547 387Z IWIO RIYM Y6EZ QSQ,SHAR
1452812698,THB,1079.52,Jose Wheeler,12919 Badeau Street,BG03 TTCE 8653 70PU D9GT VP,Eric Lopez,1 Lighthouse Bay Terrace,LV25 FIGX BJ3V VHOX UFJF Q,SHAR
1435192601,PLN,3270.19,Gloria Hicks,544 Lillian Crossing,FR52 4552 5757 59UR AQMY YZQW Y05,Shirley Johnson,9 5th Park,HR07 0869 2054 9730 3679 1,SHAR
1447208346,YER,1279.07,Teresa Jordan,3 Michigan Road,AE66 6388 8134 0813 4564 206,Howard Mcdonald,24 Meadow Valley Drive,RO45 GWGD 1GPW W3ZY EMOO 37L4,SHAR
1451202128,IDR,2311.65,Donald Spencer,216 Hermina Terrace,BA61 6140 1785 3891 4597,Clarence Ramos,8 Pleasure Drive,AZ37 VEDT 8AOF CKQS D4JF 65DH JJK2,OUR
1456519407,IDR,3209.01,Kathryn Williams,72 Northridge Pass,FR16 3825 2299 761Q UBAH EPYU O25,Charles Perez,18 Jenna Street,MD80 ZFMY NL4R IIGF SKVD Y840,OUR
1434507997,CZK,587.12,Maria Romero,39 Erie Point,MK14 8589 VLC2 CU4R 995,Brenda Scott,1895 Elmside Court,IE13 HAXA 8752 3346 0265 70,SHAR
1449539549,SEK,2058.68,Timothy Kelley,311 Grasskamp Place,LT29 8113 5797 8147 4746,Brandon Ramos,066 Oak Trail,SM80 B616 8188 501D SSNU GPZI MH5,OUR
1455077743,CNY,2551.54,Angela James,915 Bunker Hill Circle,GL83 0918 9991 3106 56,Louis Bennett,6 Ruskin Terrace,BR42 5449 5167 8864 6071 7954 597Q V,BEN
1457702666,EUR,4001.67,Chris Gibson,379 Clarendon Circle,NO56 1455 5733 866,Paula Graham,006 Fordem Trail,FR29 3162 2961 43P0 KS86 DJCC X59,OUR
1462397810,EUR,242.59,Helen Hamilton,93108 Cascade Lane,LI10 8454 4OZI E9SF BJPV Y,Julia Gutierrez,362 Mifflin Terrace,IS48 0640 1123 8262 3500 4373 73,SHAR
1462328193,IDR,3933.31,Julie Lee,315 Basil Center,FR39 6569 5261 84WG HQQ2 8SYN 308,Shirley Banks,92 Clyde Gallagher Center,FR14 1734 5099 94G5 HDQ5 ND0D 502,BEN
1455861343,EUR,1262.45,Bonnie Tucker,963 International Crossing,PL71 0127 8709 8223 5858 8847 9813,Nicole Brown,9460 Bashford Circle,IT11 B196 6082 348H T3PY FZIC 5XI,SHAR
1437069666,CNY,3724.32,Alan Gonzalez,87809 Graedel Drive,MU37 GEQZ 0281 7965 7304 1938 208V SP,Thomas Austin,483 Katie Crossing,EE71 0225 1868 0582 9698,OUR
1444043719,SEK,1657.41,Jason Ross,7892 Eggendart Avenue,FR49 0471 0790 97GI 5EYJ LSVW O18,Anne Perez,84916 Gulseth Road,FR72 4084 4383 60CE RHVD SD2D 284,BEN
1436691744,LTL,1075.46,Maria Kim,38466 Toban Court,GE57 NV93 0712 9965 5140 93,Kathy Miller,69 Coleman Way,FR38 6489 3426 55O4 HF8N FHD7 Y48,OUR
1450212911,JPY,2040.44,Jean Adams,73 Merry Place,FI07 7700 4568 0634 98,Jack Hansen,61 Summer Ridge Point,GT73 BLOI 1YQZ LTSU YZRL 2BXA XVR5,BEN
1448514905,CNY,3933.41,Martha Burton,4 Oxford Center,CH44 2338 4UMD JN5R IBUX Q,Anna Garrett,9 Thierer Street,BE95 8592 6961 5700,OUR
1456654223,LAK,1310.93,Sandra Allen,4389 Veith Place,AD36 0529 0805 HJHA QGKC LRXX,Alan Gonzales,68 Pine View Place,ES19 9977 3292 9310 3530 3189,BEN
1450286264,MAD,4037.31,Mildred Russell,500 Duke Pass,CR34 2332 7404 1559 6629 7,Norma King,75 Dahle Pass,RS47 3219 1472 1908 8785 55,BEN
1452213535,CNY,2614.24,Anna Warren,644 Shopko Avenue,DK35 0317 2809 7523 15,Walter Baker,01 Crest Line Trail,PT33 0192 1222 3750 3110 0319 9,BEN
1461651489,SEK,705.97,Terry Shaw,82582 Talisman Plaza,DO46 M4JG 7521 0268 2701 5904 9486,Bonnie Ward,1 Kennedy Plaza,CH59 5420 3ROA PEA0 IT6H D,OUR
1450952158,CNY,4066.44,Howard Kelly,6038 Eliot Circle,BE63 9564 2298 2491,Ruth Walker,66 Sutherland Junction,IE41 JGAY 2408 3592 1831 87,OUR
1434565655,IDR,3061.72,Russell Jackson,26 Bluestem Way,MT12 LTPU 1163 9A1X ZLB4 5VCG BLBN MED,Anne Barnes,2 Bartelt Terrace,CH13 8213 6ESZ WZLF RYDT G,OUR
1436063082,UAH,3436.16,Shawn Rivera,69 Mcguire Pass,MT93 AMXY 2036 2IOC WTAZ 0UHB TS4R R2N,Martha Evans,238 Old Gate Circle,BE14 7240 6071 2848,BEN
1452155039,RSD,134.37,Brandon Coleman,24 Hallows Street,FR90 6198 7694 17XC RWYZ YNTF F41,Charles Myers,545 Ridgeway Drive,PL34 8192 3982 7433 9005 5328 0552,SHAR
1456970615,PHP,2622.34,Anna Boyd,843 Bellgrove Court,CH55 4905 9L1Z ULDO WFHL O,Billy Gordon,2 Oxford Alley,ES76 1319 0742 3313 4437 0326,SHAR
1459408807,CNY,4417.43,Margaret Bishop,6618 Bluestem Trail,CH72 4209 9PGU 3T82 YNW0 3,Donna Thompson,22913 Logan Hill,CZ38 7712 0693 3028 4199 7075,SHAR
1444613623,IDR,1394.8,Lawrence Price,880 Canary Parkway,IL91 0824 5632 7555 5527 990,Joseph Morrison,4 Dixon Road,DO31 RI3C 8792 2729 0795 7836 2925,OUR
1444857630,SEK,2303.13,Ann Hamilton,9505 Ramsey Way,MR69 3906 5133 5027 7593 2942 542,Gary Hamilton,58 Northland Avenue,GT18 ZE8D MO2A 99AE ZTLJ MOLQ AL82,SHAR
1439587462,USD,442.64,Diane Anderson,24428 Jackson Road,AE21 6413 6484 5470 5491 819,Janice Boyd,23360 Kingsford Trail,FR04 1366 6189 44LE 77AB 7GGS K06,BEN
1443382560,EUR,4632.81,Donald Collins,82981 Lakewood Way,DK34 3809 6926 9567 15,Carl Fuller,829 Prentice Hill,RO22 WTCG XKPN WHUO SBCZ TXO4,BEN
1443346368,EUR,3821.32,Patrick Hamilton,1 Carpenter Terrace,PL11 5819 5488 6146 9646 2753 3713,Keith Baker,1 Moose Lane,RO83 PANO QBAS SFEW WDUE 9Q5P,SHAR
1446416683,CNY,2477.18,Joseph Fowler,227 Sauthoff Crossing,FR85 6736 4507 37JA KYEK B7XC W22,Christopher Rodriguez,6 Gerald Road,AL24 0498 1975 2U3Y SHOJ SP0F 7NLN,OUR
1459788937,EUR,2047.32,Phillip Simpson,8 Moose Hill,VG35 PYRY 1377 3549 9264 3932,Jack Jacobs,60 Talmadge Plaza,LV41 ONBG NO85 H9IM WGN3 F,OUR
1434054578,CNY,4460.15,Kimberly Hansen,4 Sachtjen Plaza,GI20 IOOI AWRK V6MX ENRW GSH,Maria Carter,2894 Fieldstone Pass,PT75 2206 9918 9103 9453 0891 3,BEN
1454923714,IQD,2901.79,Alan Cole,21 Charing Cross Plaza,FR59 3338 5832 33MF 0HGS PAE5 J25,Douglas Franklin,30472 Lillian Pass,HR33 6173 3279 7033 7199 8,SHAR
1458480946,IDR,3213.66,Janet Wagner,815 Lerdahl Plaza,FR11 3713 1534 26XC JIEU RJUI A61,Albert Kelly,60023 Mesta Circle,NO39 8376 4131 185,OUR
1456178078,CNY,4429.76,Jean Thompson,1 Everett Terrace,RO24 DRZP RIA1 9OQO ZFBL YNIL,Louis Thomas,51 Lotheville Street,PS58 MSJW T603 PMKD ZBCO Y4RR EWJY U,OUR
1446084889,EGP,3667.81,Billy Kennedy,0957 Hallows Parkway,SM69 A060 2817 107O TVUG 341Z KOZ,Juan Castillo,4550 Fisk Center,FR30 8280 0554 74GN SFNX CLMV R85,OUR
1450098671,PHP,4607.84,Jean Mills,7 Cherokee Lane,IT93 I528 2298 843V ORV3 V5K7 CPB,Wayne Wagner,4 Sunfield Plaza,RO75 RZHP CE5G URAY 9PKN VEWQ,SHAR
1461014389,IDR,4140.12,Timothy Garcia,35 Gale Circle,MK21 454V AH2L WUIQ T99,Todd Ortiz,0417 Graedel Park,FR80 8828 8788 40WW XMUR 7CSV V33,OUR
1457816823,RUB,935.24,Paula Morrison,7673 Brown Circle,PT33 6996 6550 1452 9970 5481 6,Jeffrey Butler,37 Pepper Wood Way,FR82 4556 9541 39UQ 3MCT JZNN A19,OUR
1458255972,PLN,4904.48,Amy Porter,7 Scofield Circle,PK51 AFDK BMTA JKPY 1YMK N2FH,Andrea Stanley,7 Rockefeller Junction,SK21 2891 2819 3373 9110 8590,SHAR
1462878504,CRC,4288.1,Joseph Roberts,5 Bonner Pass,DK13 1186 1951 3412 22,Jane Turner,874 Corscot Circle,BE18 9507 2493 9849,BEN
1437237077,CZK,4666.95,Gregory Bishop,867 Pearson Plaza,EE15 6399 2986 4939 9705,Richard Boyd,068 7th Park,AZ63 QWUU UWTO OWLL GAXX XFWF X58J,OUR
1447290476,COP,1244.36,Stephen Stephens,80399 Park Meadow Street,FR63 6224 1337 73KL DHOW Q27Y K04,Jose Hawkins,4 Novick Pass,IT94 B388 3880 352X ZPLZ DRM1 HA0,BEN
1460442833,PHP,2967.83,Kenneth Kennedy,896 Rigney Crossing,DE36 6791 3832 7958 5759 46,Sharon Ramos,97 New Castle Circle,MT31 GZEV 9313 71FX D7PW WM2P N8VF KEP,BEN
1460755963,MAD,1132.61,Lisa Sanchez,9 Arizona Circle,VG38 QCXI 3840 0165 6383 8297,Sandra Bishop,9 Village Green Drive,SK95 2828 9432 8590 2468 9325,BEN
1455603076,USD,4328.15,Dennis Hansen,204 Forest Alley,DE14 5186 0357 2118 4777 84,Carolyn Rogers,97 Merchant Circle,MC46 2566 6398 98VZ GJYY CK9A O14,BEN
1436419260,BRL,4934.6,Nancy Reid,29 Sugar Street,NL81 LAQV 9743 1581 23,Julie Foster,9557 Comanche Circle,FR41 4682 4894 99A0 J2Q7 F3AZ Y63,SHAR
1436464753,IDR,2575.41,Earl Schmidt,21972 Del Mar Way,MC18 3251 5254 54L6 IKBB XVSP X90,Sarah Collins,41941 Schmedeman Junction,AL23 2837 6940 MKUT DVQI AAVM SX13,OUR
1439642042,NGN,1943.78,Phyllis Nguyen,1518 Derek Drive,PL28 2177 8888 6747 3790 8761 5009,Rachel Reynolds,8 Clyde Gallagher Plaza,MD54 ARKH M6OV ADAV 5JXL 9H4Y,OUR
1457949691,ILS,1066.09,Ernest Moreno,91 Sheridan Plaza,MU57 MKKB 8769 5099 3483 8353 533P BC,Thomas Ortiz,7947 Crest Line Center,DO87 IDDJ 6115 2045 2151 3964 7357,SHAR
